Salary;Work_Type;Company_Size;Role;Company;percent
47200;стажер;26801;менеджер по социальным сетям;Icahn Enterprises;96.95774532158336%
44800;Стажер;100340;Фронтенд веб-разработчик; PNC Financial Services Group;93.62591431556949%
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.;101.83639398998329%
52000;полный рабочий день;129896;инженер беспроводной сети;Hess;110.99252934898614%
51200;стажер;53944;менеджер по проведению конференций;Cairn Energy;105.17450339968366%
47200;Полная занятость;23196;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone;98.11461949404453%
50400;временная;26119;классный руководитель;FedEx;103.64825402048288%
52000;контракт;40558;дизайнер пользовательского интерфейса;Ryder System;109.97842730848947%
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises;106.55737704918033%
48000;полный рабочий день;102069;свадебный консультант;CSX;102.45464247598719%
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка;96.44262087052155%
51200;контракт;117285;адвокат по семейному праву;TPG Telecom;108.28645150374349%
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG;106.70387622350358%
44800;временная;127900;аналитик по сетевой безопасности;EnLink Midstream;92.13178135154033%
45600;полный рабочий день;92128;менеджер по работе с клиентами;NGL Energy Partners;97.33191035218783%
52000;неполный рабочий день;92028;бренд-менеджер по продукции;Bayer AG;106.70387622350358%
48000;неполный рабочий день;49100;социальный работник в школе;Deere;98.49588574477254%
44000;полный рабочий день;29318;создатель контента;Mondelez International;93.91675560298826%
44000;контракт;126630;Аналитик по доставке; 3M;93.05866926102956%
52000;временный;48199;координатор по кадрам;KKR;108.51419031719533%
49600; полный рабочий день;64351;юридический секретарь;NGL Energy Partners;100.0%
51200;Стажер;118041;Семейная медсестра;EasyJet;107.00104493207942%
46400;Стажер;40723;Стратег по работе с клиентами;Otis Worldwide;96.96969696969697%
49600;Временная;127385; Бэкэнд разработчик; Oil Search;101.63934426229508%
48000;Временная;28043;Координатор цепочки поставок;HCL Technologies;98.36065573770492%
46400;Временная;81318;Координатор цепочки поставок;DTE Energy;95.08196721311475%
47200;Контракт;105370;B2B Консультант по продажам;Associated British Foods;98.33333333333333%
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy;105.06227812775737%
